,surface_area,independence_year
0,193.0,
1,652090.0,1919.0
2,1246700.0,1975.0
3,96.0,
4,28748.0,1912.0
5,468.0,1278.0
6,800.0,
7,83600.0,1971.0
8,2780400.0,1816.0
9,29800.0,1991.0
10,199.0,
11,13120000.0,
12,7780.0,
13,442.0,1981.0
14,7741220.0,1901.0
15,83859.0,1918.0
16,86600.0,1991.0
17,27834.0,1962.0
18,30518.0,1830.0
19,112622.0,1960.0
20,274000.0,1960.0
21,143998.0,1971.0
22,110994.0,1908.0
23,694.0,1971.0
24,13878.0,1973.0
25,51197.0,1992.0
26,207600.0,1991.0
27,22696.0,1981.0
28,53.0,
29,1098581.0,1825.0
30,8547403.0,1822.0
31,430.0,1966.0
32,5765.0,1984.0
33,47000.0,1910.0
34,59.0,
35,581730.0,1966.0
36,622984.0,1960.0
37,9970610.0,1867.0
38,14.0,
39,41284.0,1499.0
40,756626.0,1810.0
41,9572900.0,-1523.0
42,322463.0,1960.0
43,475442.0,1960.0
44,2344858.0,1960.0
45,342000.0,1960.0
46,236.0,
47,1138914.0,1810.0
48,1862.0,1975.0
49,4033.0,1975.0
50,51100.0,1821.0
51,110861.0,1902.0
52,135.0,
53,264.0,
54,9251.0,1960.0
55,78866.0,1993.0
56,357022.0,1955.0
57,23200.0,1977.0
58,751.0,1978.0
59,43094.0,800.0
60,48511.0,1844.0
61,2381741.0,1962.0
62,283561.0,1822.0
63,1001449.0,1922.0
64,117600.0,1993.0
65,266000.0,
66,505992.0,1492.0
67,45227.0,1991.0
68,1104300.0,-1000.0
69,338145.0,1917.0
70,18274.0,1970.0
71,12173.0,
72,551500.0,843.0
73,1399.0,
74,702.0,1990.0
75,267668.0,1960.0
76,242900.0,1066.0
77,69700.0,1991.0
78,238533.0,1957.0
79,6.0,
80,245857.0,1958.0
81,1705.0,
82,11295.0,1965.0
83,36125.0,1974.0
84,28051.0,1968.0
85,131626.0,1830.0
86,344.0,1974.0
87,2166090.0,
88,108889.0,1821.0
89,90000.0,
90,549.0,
91,214969.0,1966.0
92,1075.0,
93,359.0,
94,112088.0,1838.0
95,56538.0,1991.0
96,27750.0,1804.0
97,93030.0,1918.0
98,1904569.0,1945.0
99,3287263.0,1947.0
100,78.0,
101,70273.0,1921.0
102,1648195.0,1906.0
103,438317.0,1932.0
104,103000.0,1944.0
105,21056.0,1948.0
106,301316.0,1861.0
107,10990.0,1962.0
108,88946.0,1946.0
109,377829.0,-660.0
110,2724900.0,1991.0
111,580367.0,1963.0
112,199900.0,1991.0
113,181035.0,1953.0
114,726.0,1979.0
115,261.0,1983.0
116,99434.0,1948.0
117,17818.0,1961.0
118,236800.0,1953.0
119,10400.0,1941.0
120,111369.0,1847.0
121,1759540.0,1951.0
122,622.0,1979.0
123,160.0,1806.0
124,65610.0,1948.0
125,30355.0,1966.0
126,65301.0,1991.0
127,2586.0,1867.0
128,64589.0,1991.0
129,18.0,
130,446550.0,1956.0
131,1.5,1861.0
132,33851.0,1991.0
133,587041.0,1960.0
134,298.0,1965.0
135,1958201.0,1810.0
136,181.0,1990.0
137,25713.0,1991.0
138,1240192.0,1960.0
139,316.0,1964.0
140,676578.0,1948.0
141,1566500.0,1921.0
142,464.0,
143,801590.0,1975.0
144,1025520.0,1960.0
145,102.0,
146,1102.0,
147,2040.0,1968.0
148,118484.0,1964.0
149,329758.0,1957.0
150,373.0,
151,824292.0,1990.0
152,18575.0,
153,1267000.0,1960.0
154,36.0,
155,923768.0,1960.0
156,130000.0,1838.0
157,260.0,
158,41526.0,1581.0
159,323877.0,1905.0
160,147181.0,1769.0
161,21.0,1968.0
162,270534.0,1907.0
163,309500.0,1951.0
164,796095.0,1947.0
165,75517.0,1903.0
166,49.0,
167,1285216.0,1821.0
168,300000.0,1946.0
169,459.0,1994.0
170,462840.0,1975.0
171,323250.0,1918.0
172,8875.0,
173,120538.0,1948.0
174,91982.0,1143.0
175,406752.0,1811.0
176,6257.0,
177,4000.0,
178,11000.0,1971.0
179,2510.0,
180,238391.0,1878.0
181,17075400.0,1991.0
182,26338.0,1962.0
183,2149690.0,1932.0
184,2505813.0,1956.0
185,196722.0,1960.0
186,618.0,1965.0
187,3903.0,
188,314.0,
189,62422.0,
190,28896.0,1978.0
191,71740.0,1961.0
192,21041.0,1841.0
193,61.0,885.0
194,637657.0,1960.0
195,242.0,
196,964.0,1975.0
197,163265.0,1975.0
198,49012.0,1993.0
199,20256.0,1991.0
200,449964.0,836.0
201,17364.0,1968.0
202,455.0,1976.0
203,185180.0,1941.0
204,430.0,
205,1284000.0,1960.0
206,56785.0,1960.0
207,513115.0,1350.0
208,143100.0,1991.0
209,12.0,
210,488100.0,1991.0
211,14874.0,
212,650.0,1970.0
213,5130.0,1962.0
214,163610.0,1956.0
215,774815.0,1923.0
216,26.0,1978.0
217,36188.0,1945.0
218,883749.0,1961.0
219,241038.0,1962.0
220,603700.0,1991.0
221,16.0,
222,175016.0,1828.0
223,9363520.0,1776.0
224,447400.0,1991.0
225,0.4,1929.0
226,388.0,1979.0
227,912050.0,1811.0
228,151.0,
229,347.0,
230,331689.0,1945.0
231,12189.0,1980.0
232,200.0,
233,2831.0,1962.0
234,527968.0,1918.0
235,102173.0,1918.0
236,1221037.0,1910.0
237,752618.0,1964.0
238,390757.0,1980.0
